Product name,Product type,Selling method,Minimum order quantity,USD unit wholesale price,USD unit retail price,Product image URLs,Product description,Item weight,Weight UOM,Item length,Item width,Item height,Item dimensions,Option (colours),SKU,Minimum order quantity (CAD),CAD unit wholesale price,CAD retail price,inventory,inventory_us
STRAIGHT SHOOTER <BR> 700 ML / 24 OZ TRITAN<sup>TM</sup> BOTTLE,TBD,By item,50.0000,5.3999999999999995,9.00000000,https://www.spectorandco.com/product_images/products/DW100_BLK_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_BLU_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_GRN_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_OP1_BLANK__Other_Product_Images_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_BLANK__Montage_Image_Blank_v1_1632513672.jpg;https://www.spectorandco.com/product_images/products/DW100_OP2_BLANK__Other_Product_Images_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_ORG_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_RED_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_SLV_BLANK__Finish_Image_Blank_v1_1630504649.jpg,"The 700 ml / 24 oz Straight Shooter is a single wall, impact resistant bottle made from BPA-free Eastman TRITAN<sup>TM</sup> copolyester. It features a matte metallic finish paired with a matte black and silver accented leakproof screw-on lid. Decorate the Straight Shooterâs shimmering finish with our default silk screen branding method or upgrade to multicolor silk or wrap.",109.0000,g,1.7500,9.8400,2.2800,inch,BLACK,00DW1000BLK,50.0000,6.6,11.00000000,1415,694
STRAIGHT SHOOTER <BR> 700 ML / 24 OZ TRITAN<sup>TM</sup> BOTTLE,TBD,By item,50.0000,5.3999999999999995,9.00000000,https://www.spectorandco.com/product_images/products/DW100_BLK_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_BLU_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_GRN_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_OP1_BLANK__Other_Product_Images_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_BLANK__Montage_Image_Blank_v1_1632513672.jpg;https://www.spectorandco.com/product_images/products/DW100_OP2_BLANK__Other_Product_Images_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_ORG_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_RED_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_SLV_BLANK__Finish_Image_Blank_v1_1630504649.jpg,"The 700 ml / 24 oz Straight Shooter is a single wall, impact resistant bottle made from BPA-free Eastman TRITAN<sup>TM</sup> copolyester. It features a matte metallic finish paired with a matte black and silver accented leakproof screw-on lid. Decorate the Straight Shooterâs shimmering finish with our default silk screen branding method or upgrade to multicolor silk or wrap.",109.0000,g,1.7500,9.8400,2.2800,inch,BLUE,00DW1000BLU,50.0000,6.6,11.00000000,5582,3721
STRAIGHT SHOOTER <BR> 700 ML / 24 OZ TRITAN<sup>TM</sup> BOTTLE,TBD,By item,50.0000,5.3999999999999995,9.00000000,https://www.spectorandco.com/product_images/products/DW100_BLK_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_BLU_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_GRN_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_OP1_BLANK__Other_Product_Images_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_BLANK__Montage_Image_Blank_v1_1632513672.jpg;https://www.spectorandco.com/product_images/products/DW100_OP2_BLANK__Other_Product_Images_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_ORG_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_RED_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_SLV_BLANK__Finish_Image_Blank_v1_1630504649.jpg,"The 700 ml / 24 oz Straight Shooter is a single wall, impact resistant bottle made from BPA-free Eastman TRITAN<sup>TM</sup> copolyester. It features a matte metallic finish paired with a matte black and silver accented leakproof screw-on lid. Decorate the Straight Shooterâs shimmering finish with our default silk screen branding method or upgrade to multicolor silk or wrap.",109.0000,g,1.7500,9.8400,2.2800,inch,GREEN,00DW1000GRN,50.0000,6.6,11.00000000,1055,296
STRAIGHT SHOOTER <BR> 700 ML / 24 OZ TRITAN<sup>TM</sup> BOTTLE,TBD,By item,50.0000,5.3999999999999995,9.00000000,https://www.spectorandco.com/product_images/products/DW100_BLK_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_BLU_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_GRN_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_OP1_BLANK__Other_Product_Images_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_BLANK__Montage_Image_Blank_v1_1632513672.jpg;https://www.spectorandco.com/product_images/products/DW100_OP2_BLANK__Other_Product_Images_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_ORG_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_RED_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_SLV_BLANK__Finish_Image_Blank_v1_1630504649.jpg,"The 700 ml / 24 oz Straight Shooter is a single wall, impact resistant bottle made from BPA-free Eastman TRITAN<sup>TM</sup> copolyester. It features a matte metallic finish paired with a matte black and silver accented leakproof screw-on lid. Decorate the Straight Shooterâs shimmering finish with our default silk screen branding method or upgrade to multicolor silk or wrap.",109.0000,g,1.7500,9.8400,2.2800,inch,ORANGE,00DW1000ORG,50.0000,6.6,11.00000000,1111,514
STRAIGHT SHOOTER <BR> 700 ML / 24 OZ TRITAN<sup>TM</sup> BOTTLE,TBD,By item,50.0000,5.3999999999999995,9.00000000,https://www.spectorandco.com/product_images/products/DW100_BLK_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_BLU_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_GRN_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_OP1_BLANK__Other_Product_Images_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_BLANK__Montage_Image_Blank_v1_1632513672.jpg;https://www.spectorandco.com/product_images/products/DW100_OP2_BLANK__Other_Product_Images_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_ORG_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_RED_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_SLV_BLANK__Finish_Image_Blank_v1_1630504649.jpg,"The 700 ml / 24 oz Straight Shooter is a single wall, impact resistant bottle made from BPA-free Eastman TRITAN<sup>TM</sup> copolyester. It features a matte metallic finish paired with a matte black and silver accented leakproof screw-on lid. Decorate the Straight Shooterâs shimmering finish with our default silk screen branding method or upgrade to multicolor silk or wrap.",109.0000,g,1.7500,9.8400,2.2800,inch,RED,00DW1000RED,50.0000,6.6,11.00000000,34,561
STRAIGHT SHOOTER <BR> 700 ML / 24 OZ TRITAN<sup>TM</sup> BOTTLE,TBD,By item,50.0000,5.3999999999999995,9.00000000,https://www.spectorandco.com/product_images/products/DW100_BLK_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_BLU_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_GRN_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_OP1_BLANK__Other_Product_Images_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_BLANK__Montage_Image_Blank_v1_1632513672.jpg;https://www.spectorandco.com/product_images/products/DW100_OP2_BLANK__Other_Product_Images_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_ORG_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_RED_BLANK__Finish_Image_Blank_v1_1630504649.jpg;https://www.spectorandco.com/product_images/products/DW100_SLV_BLANK__Finish_Image_Blank_v1_1630504649.jpg,"The 700 ml / 24 oz Straight Shooter is a single wall, impact resistant bottle made from BPA-free Eastman TRITAN<sup>TM</sup> copolyester. It features a matte metallic finish paired with a matte black and silver accented leakproof screw-on lid. Decorate the Straight Shooterâs shimmering finish with our default silk screen branding method or upgrade to multicolor silk or wrap.",109.0000,g,1.7500,9.8400,2.2800,inch,SILVER,00DW1000SLV,50.0000,6.6,11.00000000,2011,2363
CRYSTAL CLEARÂ <BR> 1000 ML / 34 OZ BOROSILICATE GLASS BOTTLE,TBD,By item,25.0000,5.3999999999999995,9.00000000,https://www.spectorandco.com/product_images/products/DW201_montage_blank__Montage_Image_Blank_v1_1681956943.jpg;https://www.spectorandco.com/product_images/products/DW201_BLK_blank__Finish_Image_Blank_v1_1681956933.jpg;https://www.spectorandco.com/product_images/products/DW201_BLU_BE_blank__Finish_Image_Blank_v1_1681956936.jpg;https://www.spectorandco.com/product_images/products/DW201_BLU_blank__Finish_Image_Blank_v1_1681956938.jpg;https://www.spectorandco.com/product_images/products/DW201_GRN_BE_blank__Finish_Image_Blank_v1_1681956939.jpg;https://www.spectorandco.com/product_images/products/DW201_GRN_blank__Finish_Image_Blank_v1_1681956940.jpg;https://www.spectorandco.com/product_images/products/DW201_RED_BE_blank__Finish_Image_Blank_v1_1681956946.jpg;https://www.spectorandco.com/product_images/products/DW201_RED_blank__Finish_Image_Blank_v1_1681956948.jpg;https://www.spectorandco.com/product_images/products/DW201_WHT_BE_blank__Finish_Image_Blank_v1_1681956949.jpg;https://www.spectorandco.com/product_images/products/DW201_WHT_blank__Finish_Image_Blank_v1_1681956951.jpg,"The 1000 mL / 34 oz Crystal Clear is a bottle made from durable, high-quality borosilicate glass that is resistant to thermal shock and scratching. Itâs fitted with a leak-proof color-accented acrylic plastic lid that compliments the pure and clean design of this tumbler. Itâs a clear choice for sustainable hydration.",411.0000,g,1.3700,9.2100,3.2600,inch,BLACK,00DW2010BLK,25.0000,6.6,11.00000000,134,609
CRYSTAL CLEARÂ <BR> 1000 ML / 34 OZ BOROSILICATE GLASS BOTTLE,TBD,By item,25.0000,5.3999999999999995,9.00000000,https://www.spectorandco.com/product_images/products/DW201_montage_blank__Montage_Image_Blank_v1_1681956943.jpg;https://www.spectorandco.com/product_images/products/DW201_BLK_blank__Finish_Image_Blank_v1_1681956933.jpg;https://www.spectorandco.com/product_images/products/DW201_BLU_BE_blank__Finish_Image_Blank_v1_1681956936.jpg;https://www.spectorandco.com/product_images/products/DW201_BLU_blank__Finish_Image_Blank_v1_1681956938.jpg;https://www.spectorandco.com/product_images/products/DW201_GRN_BE_blank__Finish_Image_Blank_v1_1681956939.jpg;https://www.spectorandco.com/product_images/products/DW201_GRN_blank__Finish_Image_Blank_v1_1681956940.jpg;https://www.spectorandco.com/product_images/products/DW201_RED_BE_blank__Finish_Image_Blank_v1_1681956946.jpg;https://www.spectorandco.com/product_images/products/DW201_RED_blank__Finish_Image_Blank_v1_1681956948.jpg;https://www.spectorandco.com/product_images/products/DW201_WHT_BE_blank__Finish_Image_Blank_v1_1681956949.jpg;https://www.spectorandco.com/product_images/products/DW201_WHT_blank__Finish_Image_Blank_v1_1681956951.jpg,"The 1000 mL / 34 oz Crystal Clear is a bottle made from durable, high-quality borosilicate glass that is resistant to thermal shock and scratching. Itâs fitted with a leak-proof color-accented acrylic plastic lid that compliments the pure and clean design of this tumbler. Itâs a clear choice for sustainable hydration.",411.0000,g,1.3700,9.2100,3.2600,inch,BLUE,00DW2010BLU,25.0000,6.6,11.00000000,33,583
CRYSTAL CLEARÂ <BR> 1000 ML / 34 OZ BOROSILICATE GLASS BOTTLE,TBD,By item,25.0000,5.3999999999999995,9.00000000,https://www.spectorandco.com/product_images/products/DW201_montage_blank__Montage_Image_Blank_v1_1681956943.jpg;https://www.spectorandco.com/product_images/products/DW201_BLK_blank__Finish_Image_Blank_v1_1681956933.jpg;https://www.spectorandco.com/product_images/products/DW201_BLU_BE_blank__Finish_Image_Blank_v1_1681956936.jpg;https://www.spectorandco.com/product_images/products/DW201_BLU_blank__Finish_Image_Blank_v1_1681956938.jpg;https://www.spectorandco.com/product_images/products/DW201_GRN_BE_blank__Finish_Image_Blank_v1_1681956939.jpg;https://www.spectorandco.com/product_images/products/DW201_GRN_blank__Finish_Image_Blank_v1_1681956940.jpg;https://www.spectorandco.com/product_images/products/DW201_RED_BE_blank__Finish_Image_Blank_v1_1681956946.jpg;https://www.spectorandco.com/product_images/products/DW201_RED_blank__Finish_Image_Blank_v1_1681956948.jpg;https://www.spectorandco.com/product_images/products/DW201_WHT_BE_blank__Finish_Image_Blank_v1_1681956949.jpg;https://www.spectorandco.com/product_images/products/DW201_WHT_blank__Finish_Image_Blank_v1_1681956951.jpg,"The 1000 mL / 34 oz Crystal Clear is a bottle made from durable, high-quality borosilicate glass that is resistant to thermal shock and scratching. Itâs fitted with a leak-proof color-accented acrylic plastic lid that compliments the pure and clean design of this tumbler. Itâs a clear choice for sustainable hydration.",411.0000,g,1.3700,9.2100,3.2600,inch,GREEN,00DW2010GRN,25.0000,6.6,11.00000000,894,364
CRYSTAL CLEARÂ <BR> 1000 ML / 34 OZ BOROSILICATE GLASS BOTTLE,TBD,By item,25.0000,5.3999999999999995,9.00000000,https://www.spectorandco.com/product_images/products/DW201_montage_blank__Montage_Image_Blank_v1_1681956943.jpg;https://www.spectorandco.com/product_images/products/DW201_BLK_blank__Finish_Image_Blank_v1_1681956933.jpg;https://www.spectorandco.com/product_images/products/DW201_BLU_BE_blank__Finish_Image_Blank_v1_1681956936.jpg;https://www.spectorandco.com/product_images/products/DW201_BLU_blank__Finish_Image_Blank_v1_1681956938.jpg;https://www.spectorandco.com/product_images/products/DW201_GRN_BE_blank__Finish_Image_Blank_v1_1681956939.jpg;https://www.spectorandco.com/product_images/products/DW201_GRN_blank__Finish_Image_Blank_v1_1681956940.jpg;https://www.spectorandco.com/product_images/products/DW201_RED_BE_blank__Finish_Image_Blank_v1_1681956946.jpg;https://www.spectorandco.com/product_images/products/DW201_RED_blank__Finish_Image_Blank_v1_1681956948.jpg;https://www.spectorandco.com/product_images/products/DW201_WHT_BE_blank__Finish_Image_Blank_v1_1681956949.jpg;https://www.spectorandco.com/product_images/products/DW201_WHT_blank__Finish_Image_Blank_v1_1681956951.jpg,"The 1000 mL / 34 oz Crystal Clear is a bottle made from durable, high-quality borosilicate glass that is resistant to thermal shock and scratching. Itâs fitted with a leak-proof color-accented acrylic plastic lid that compliments the pure and clean design of this tumbler. Itâs a clear choice for sustainable hydration.",411.0000,g,1.3700,9.2100,3.2600,inch,RED,00DW2010RED,25.0000,6.6,11.00000000,63,429
